"","variable","ols_coefficient","lasso_coefficient"
"39","d_have_tv",6.78631198174798,3.20096586225682
"40","d_have_washer",9.95231526667348,3.89810194309729
"41","d_have_workoffice",-0.906593947153504,-0.397942648930464
"42","d_host_greets_you",4.00445984228296,1.60452681192578
"43","d_host_identity_verified",2.18166664016323,0.915586310349018
"44","d_host_is_superhost",11.713111781914,3.76532984411319
"45","d_hot_water",-0.171234907754885,-0.0662637659977563
"46","d_laundromat_nearby",-9.22164529423106,-0.960742583697435
"47","d_lock_on_bedroom_door",-0.565570546008007,-0.0212267578088484
"48","d_lockbox",-4.13657137720284,-0.90683297425348
"49","d_long_term_stays_allowed",-5.39876592782052,-1.92863521408543
"50","d_luggage_dropoff_allowed",3.26603225892154,0.989780306446511
"51","d_microwave",0.999393730935582,0.447510317618423
"52","d_paid_parking_off_premises",-2.41197001031245,-0.874407801620301
"53","d_paid_parking_on_premises",7.38126387811572,0.919924315956339
"54","d_private_entrance",3.08203120917837,1.05210945880035
"55","d_private_living_room",4.24664882316827,0.398644909114759
"56","d_roomdarkening_shades",0.145268591713393,NA
"57","d_shampoo_conditioner",2.21338513755798,1.06227046528604
"58","d_single_level_home",2.93035833044386,0.608182105393737
"59","d_smoke_alarm",-3.61792673246253,-1.60485407599549
"60","d_wifi",2.75239036019831,0.626588227056864
"61","f_bathroom",34.8354132804442,8.02830504052536
"62","f_bedroom",14.7237539345777,8.4597945827029
"63","f_neighbourhood_cleansedBourse",2.43323040635666,-0.426080561878215
"64","f_neighbourhood_cleansedButtes-Chaumont",13.8485242718281,1.48208899106379
"65","f_neighbourhood_cleansedButtes-Montmartre",16.9802913086191,3.17946518903222
"66","f_neighbourhood_cleansedÉlysée",-2.83654114092038,-1.15342457329264
"67","f_neighbourhood_cleansedEntrepôt",17.7947433556998,2.71526229471083
"68","f_neighbourhood_cleansedGobelins",14.1502851218185,1.15539832614498
"69","f_neighbourhood_cleansedHôtel-de-Ville",20.5223590221706,2.51025799169541
"70","f_neighbourhood_cleansedLouvre",19.0990677095428,1.79474259054128
"71","f_neighbourhood_cleansedLuxembourg",-5.18087279901315,-1.70533024180165
"72","f_neighbourhood_cleansedMénilmontant",8.21874211846332,0.208631695900015
"73","f_neighbourhood_cleansedObservatoire",10.4758153772953,0.530304928615321
"74","f_neighbourhood_cleansedOpéra",12.7684063166519,1.15998233607205
"75","f_neighbourhood_cleansedPalais-Bourbon",-4.39150728313933,-1.53418212309383
"76","f_neighbourhood_cleansedPanthéon",4.36270191723196,-0.135004083651921
"77","f_neighbourhood_cleansedPassy",6.61995640899874,0.00796193197834029
"78","f_neighbourhood_cleansedPopincourt",14.1002323056931,2.07379325832126
"79","f_neighbourhood_cleansedReuilly",10.2362989646379,0.563015207822044
"80","f_neighbourhood_cleansedTemple",17.6847049070968,2.46584385380487
"81","f_neighbourhood_cleansedVaugirard",12.9945404698147,1.57706718087621
"82","f_room_typePrivate room",7.35327532609234,0.0283185275761411
"83","f_room_typePrivate room:d_balcony",-17.6692989433523,-1.32881817430213
"84","f_room_typePrivate room:d_cleaning_before_checkout",18.1803997293398,0.947253697697649
"85","f_room_typePrivate room:d_elevator",-8.53928682997111,-1.55891990265742
"86","f_room_typePrivate room:d_family_friendly",-1.19749433085743,-0.0619913185723783
"87","f_room_typePrivate room:d_have_breakfast",2.1785133207645,0.224724429791759
"88","f_room_typePrivate room:d_have_garden",-4.77962441766198,-0.180079680078193
"89","f_room_typePrivate room:d_have_kitchen",-1.0491723483934,-0.0509743840683201
"90","f_room_typePrivate room:d_have_washer",-15.0666534904448,-3.58720444503371
"91","f_room_typePrivate room:d_lockbox",3.37924187637759,0.12930813619979
"92","f_room_typePrivate room:d_wifi",-12.701855452248,-2.63836865755606
"93","f_room_typePrivate room:f_neighbourhood_cleansedBourse",-7.24546353578416,-0.168168271303334
"94","f_room_typePrivate room:f_neighbourhood_cleansedButtes-Chaumont",-3.79553460032696,0.0174721082034172
